Enter value for shuffling:Iterator=1, queue=1, depth=0
Iterator=2, queue=2, depth=1
Iterator=3, queue=4, depth=1
Iterator=4, queue=6, depth=2
Iterator=5, queue=7, depth=0
Iterator=6, queue=8, depth=2
Iterator=7, queue=11, depth=2
Iterator=8, queue=14, depth=2
Iterator=9, queue=15, depth=0
Iterator=10, queue=16, depth=1
Iterator=11, queue=18, depth=3
Iterator=12, queue=20, depth=1
Iterator=13, queue=22, depth=1
Iterator=14, queue=24, depth=3
Iterator=15, queue=26, depth=3
Iterator=16, queue=28, depth=3
Iterator=17, queue=30, depth=1
Iterator=18, queue=32, depth=3
Iterator=19, queue=34, depth=1
Iterator=20, queue=36, depth=3
Iterator=21, queue=38, depth=3
Iterator=22, queue=40, depth=3
Iterator=23, queue=42, depth=1
Iterator=24, queue=44, depth=1
Iterator=25, queue=46, depth=1
Iterator=26, queue=48, depth=2
Iterator=27, queue=49, depth=0
Iterator=28, queue=50, depth=2
Iterator=29, queue=53, depth=4
Iterator=30, queue=56, depth=4
Iterator=31, queue=57, depth=2
Iterator=32, queue=58, depth=2
Iterator=33, queue=59, depth=0
Iterator=34, queue=60, depth=2
Iterator=35, queue=63, depth=2
Iterator=36, queue=66, depth=2
Iterator=37, queue=67, depth=0
Iterator=38, queue=68, depth=2
Iterator=39, queue=71, depth=4
Iterator=40, queue=72, depth=4
Iterator=41, queue=73, depth=2
Iterator=42, queue=76, depth=4
Iterator=43, queue=77, depth=4
Iterator=44, queue=78, depth=4
Iterator=45, queue=79, depth=4
Iterator=46, queue=80, depth=2
Iterator=47, queue=83, depth=2
Iterator=48, queue=84, depth=0
Iterator=49, queue=85, depth=2
Iterator=50, queue=88, depth=2
Iterator=51, queue=91, depth=4
Iterator=52, queue=92, depth=4
Iterator=53, queue=93, depth=2
Iterator=54, queue=96, depth=2
Iterator=55, queue=97, depth=0
Iterator=56, queue=98, depth=4
Iterator=57, queue=99, depth=4
Iterator=58, queue=100, depth=2
Iterator=59, queue=103, depth=4
Iterator=60, queue=104, depth=4
Iterator=61, queue=105, depth=2
Iterator=62, queue=108, depth=4
Iterator=63, queue=109, depth=2
Iterator=64, queue=110, depth=4
Iterator=65, queue=113, depth=2
Iterator=66, queue=116, depth=2
Iterator=67, queue=117, depth=0
Iterator=68, queue=118, depth=2
Iterator=69, queue=119, depth=0
Iterator=70, queue=120, depth=2
Iterator=71, queue=123, depth=2
Iterator=72, queue=126, depth=2
Iterator=73, queue=127, depth=0
Iterator=74, queue=128, depth=1
Iterator=75, queue=130, depth=3
Iterator=76, queue=132, depth=1
Iterator=77, queue=134, depth=1
Iterator=78, queue=136, depth=3
Iterator=79, queue=138, depth=3
Iterator=80, queue=140, depth=3
Iterator=81, queue=142, depth=1
Iterator=82, queue=144, depth=3
Iterator=83, queue=146, depth=5
Iterator=84, queue=148, depth=5
Iterator=85, queue=150, depth=5
Iterator=86, queue=152, depth=5
Iterator=87, queue=154, depth=3
Iterator=88, queue=156, depth=1
Iterator=89, queue=158, depth=3
Iterator=90, queue=160, depth=1
Iterator=91, queue=162, depth=3
Iterator=92, queue=164, depth=1
Iterator=93, queue=166, depth=1
Iterator=94, queue=168, depth=3
Iterator=95, queue=170, depth=3
Iterator=96, queue=172, depth=3
Iterator=97, queue=174, depth=1
Iterator=98, queue=176, depth=3
Iterator=99, queue=178, depth=1
Iterator=100, queue=180, depth=3
Iterator=101, queue=182, depth=3
Iterator=102, queue=184, depth=3
Iterator=103, queue=186, depth=1
Iterator=104, queue=188, depth=1
Iterator=105, queue=190, depth=1
Iterator=106, queue=192, depth=3
Iterator=107, queue=194, depth=3
Iterator=108, queue=196, depth=3
Iterator=109, queue=198, depth=1
Iterator=110, queue=200, depth=5
Iterator=111, queue=202, depth=3
Iterator=112, queue=204, depth=5
Iterator=113, queue=206, depth=3
Iterator=114, queue=208, depth=3
Iterator=115, queue=210, depth=3
Iterator=116, queue=212, depth=3
Iterator=117, queue=214, depth=1
Iterator=118, queue=216, depth=5
Iterator=119, queue=218, depth=3
Iterator=120, queue=220, depth=5
Iterator=121, queue=222, depth=3
Iterator=122, queue=224, depth=3
Iterator=123, queue=226, depth=5
Iterator=124, queue=228, depth=3
Iterator=125, queue=230, depth=5
Iterator=126, queue=232, depth=3
Iterator=127, queue=234, depth=3
Iterator=128, queue=236, depth=3
Iterator=129, queue=238, depth=1
Iterator=130, queue=240, depth=1
Iterator=131, queue=242, depth=3
Iterator=132, queue=244, depth=1
Iterator=133, queue=246, depth=1
Iterator=134, queue=248, depth=3
Iterator=135, queue=250, depth=3
Iterator=136, queue=252, depth=3
Iterator=137, queue=254, depth=1
Iterator=138, queue=256, depth=3
Iterator=139, queue=258, depth=1
Iterator=140, queue=260, depth=3
Iterator=141, queue=262, depth=3
Iterator=142, queue=264, depth=5
Iterator=143, queue=266, depth=3
Iterator=144, queue=268, depth=5
Iterator=145, queue=270, depth=3
Iterator=146, queue=272, depth=3
Iterator=147, queue=274, depth=1
Iterator=148, queue=276, depth=3
Iterator=149, queue=278, depth=3
Iterator=150, queue=280, depth=3
Iterator=151, queue=282, depth=1
Iterator=152, queue=284, depth=1
Iterator=153, queue=286, depth=1
Iterator=154, queue=288, depth=3
Iterator=155, queue=290, depth=5
Iterator=156, queue=292, depth=3
Iterator=157, queue=294, depth=5
Iterator=158, queue=296, depth=3
Iterator=159, queue=298, depth=1
Iterator=160, queue=300, depth=3
Iterator=161, queue=302, depth=3
Iterator=162, queue=304, depth=3
Iterator=163, queue=306, depth=5
Iterator=164, queue=308, depth=3
Iterator=165, queue=310, depth=5
Iterator=166, queue=312, depth=3
Iterator=167, queue=314, depth=1
Iterator=168, queue=316, depth=3
Iterator=169, queue=318, depth=3
Iterator=170, queue=320, depth=3
Iterator=171, queue=322, depth=5
Iterator=172, queue=324, depth=3
Iterator=173, queue=326, depth=1
Iterator=174, queue=328, depth=5
Iterator=175, queue=330, depth=5
Iterator=176, queue=332, depth=3
Iterator=177, queue=334, depth=5
Iterator=178, queue=336, depth=3
Iterator=179, queue=338, depth=1
Iterator=180, queue=340, depth=3
Iterator=181, queue=342, depth=3
Iterator=182, queue=344, depth=3
Iterator=183, queue=346, depth=1
Iterator=184, queue=348, depth=1
Iterator=185, queue=350, depth=1
Iterator=186, queue=352, depth=1
Iterator=187, queue=354, depth=3
Iterator=188, queue=356, depth=1
Iterator=189, queue=358, depth=1
Iterator=190, queue=360, depth=3
Iterator=191, queue=362, depth=3
Iterator=192, queue=364, depth=3
Iterator=193, queue=366, depth=1
Iterator=194, queue=368, depth=3
Iterator=195, queue=370, depth=1
Iterator=196, queue=372, depth=3
Iterator=197, queue=374, depth=3
Iterator=198, queue=376, depth=3
