Enter value for shuffling:Iterator=1, queue=1, depth=0
Iterator=2, queue=2, depth=1
Iterator=3, queue=3, depth=2
Iterator=4, queue=3, depth=3
Iterator=5, queue=4, depth=4
Iterator=6, queue=6, depth=5
Iterator=7, queue=7, depth=6
Iterator=8, queue=7, depth=7
Iterator=9, queue=8, depth=8
Iterator=10, queue=8, depth=9
Iterator=11, queue=9, depth=10
Iterator=12, queue=11, depth=11
Iterator=13, queue=12, depth=12
Iterator=14, queue=12, depth=13
Iterator=15, queue=13, depth=14
Iterator=16, queue=13, depth=15
Iterator=17, queue=14, depth=16
Iterator=18, queue=16, depth=17
Iterator=19, queue=17, depth=18
Iterator=20, queue=17, depth=19
Iterator=21, queue=18, depth=20
Iterator=22, queue=18, depth=21
Iterator=23, queue=19, depth=22
Iterator=24, queue=21, depth=23
Iterator=25, queue=22, depth=24
Iterator=26, queue=22, depth=25
Iterator=27, queue=23, depth=26
Iterator=28, queue=23, depth=27
Iterator=29, queue=24, depth=28
Iterator=30, queue=25, depth=29
Iterator=31, queue=26, depth=30
Iterator=32, queue=26, depth=31
Iterator=33, queue=27, depth=32
Iterator=34, queue=29, depth=33
Iterator=35, queue=30, depth=34
Iterator=36, queue=30, depth=35
Iterator=37, queue=31, depth=36
Iterator=38, queue=31, depth=37
Iterator=39, queue=32, depth=38
Iterator=40, queue=34, depth=39
Iterator=41, queue=35, depth=40
Iterator=42, queue=35, depth=41
Iterator=43, queue=36, depth=42
Iterator=44, queue=36, depth=43
Iterator=45, queue=36, depth=44
Iterator=46, queue=36, depth=45
Iterator=47, queue=37, depth=46
Iterator=48, queue=37, depth=47
Iterator=49, queue=38, depth=48
Iterator=50, queue=40, depth=49
Iterator=51, queue=41, depth=50
Iterator=52, queue=41, depth=51
Iterator=53, queue=42, depth=52
Iterator=54, queue=42, depth=53
Iterator=55, queue=43, depth=54
Iterator=56, queue=45, depth=55
Iterator=57, queue=46, depth=56
Iterator=58, queue=46, depth=57
Iterator=59, queue=47, depth=58
Iterator=60, queue=47, depth=59
Iterator=61, queue=48, depth=60
Iterator=62, queue=50, depth=61
Iterator=63, queue=51, depth=62
Iterator=64, queue=51, depth=63
Iterator=65, queue=52, depth=64
Iterator=66, queue=52, depth=65
Iterator=67, queue=53, depth=66
Iterator=68, queue=55, depth=67
Iterator=69, queue=56, depth=68
Iterator=70, queue=56, depth=69
Iterator=71, queue=57, depth=70
Iterator=72, queue=57, depth=71
Iterator=73, queue=58, depth=72
Iterator=74, queue=60, depth=73
Iterator=75, queue=61, depth=74
Iterator=76, queue=61, depth=75
Iterator=77, queue=61, depth=76
Iterator=78, queue=63, depth=77
Iterator=79, queue=64, depth=78
Iterator=80, queue=64, depth=79
Iterator=81, queue=65, depth=80
Iterator=82, queue=65, depth=81
Iterator=83, queue=66, depth=82
Iterator=84, queue=68, depth=83
Iterator=85, queue=69, depth=84
Iterator=86, queue=69, depth=85
Iterator=87, queue=70, depth=86
Iterator=88, queue=70, depth=87
Iterator=89, queue=71, depth=88
Iterator=90, queue=73, depth=89
Iterator=91, queue=74, depth=90
Iterator=92, queue=73, depth=90
Iterator=93, queue=73, depth=91
Iterator=94, queue=74, depth=92
Iterator=95, queue=74, depth=93
Iterator=96, queue=75, depth=94
Iterator=97, queue=77, depth=95
Iterator=98, queue=78, depth=96
Iterator=99, queue=78, depth=97
Iterator=100, queue=79, depth=98
Iterator=101, queue=79, depth=99
Iterator=102, queue=80, depth=100
Iterator=103, queue=82, depth=101
Iterator=104, queue=83, depth=102
Iterator=105, queue=83, depth=103
Iterator=106, queue=84, depth=104
Iterator=107, queue=84, depth=105
Iterator=108, queue=85, depth=106
Iterator=109, queue=87, depth=107
Iterator=110, queue=88, depth=108
Iterator=111, queue=88, depth=109
Iterator=112, queue=89, depth=110
Iterator=113, queue=89, depth=111
Iterator=114, queue=90, depth=112
Iterator=115, queue=92, depth=113
Iterator=116, queue=93, depth=114
Iterator=117, queue=93, depth=115
Iterator=118, queue=94, depth=116
Iterator=119, queue=94, depth=117
Iterator=120, queue=95, depth=118
Iterator=121, queue=97, depth=119
Iterator=122, queue=98, depth=120
Iterator=123, queue=98, depth=121
Iterator=124, queue=98, depth=122
Iterator=125, queue=100, depth=123
Iterator=126, queue=101, depth=124
Iterator=127, queue=101, depth=125
Iterator=128, queue=102, depth=126
Iterator=129, queue=102, depth=127
Iterator=130, queue=103, depth=128
Iterator=131, queue=105, depth=129
Iterator=132, queue=106, depth=130
Iterator=133, queue=106, depth=131
Iterator=134, queue=107, depth=132
Iterator=135, queue=107, depth=133
Iterator=136, queue=108, depth=134
Iterator=137, queue=110, depth=135
Iterator=138, queue=111, depth=136
Iterator=139, queue=110, depth=136
Iterator=140, queue=110, depth=137
Iterator=141, queue=111, depth=138
Iterator=142, queue=111, depth=139
Iterator=143, queue=112, depth=140
Iterator=144, queue=114, depth=141
Iterator=145, queue=115, depth=142
Iterator=146, queue=115, depth=143
Iterator=147, queue=116, depth=144
Iterator=148, queue=116, depth=145
Iterator=149, queue=117, depth=146
Iterator=150, queue=119, depth=147
Iterator=151, queue=120, depth=148
Iterator=152, queue=120, depth=149
Iterator=153, queue=121, depth=150
Iterator=154, queue=121, depth=151
Iterator=155, queue=122, depth=152
Iterator=156, queue=124, depth=153
Iterator=157, queue=125, depth=154
Iterator=158, queue=125, depth=155
Iterator=159, queue=126, depth=156
Iterator=160, queue=126, depth=157
Iterator=161, queue=127, depth=158
Iterator=162, queue=129, depth=159
Iterator=163, queue=130, depth=160
Iterator=164, queue=130, depth=161
Iterator=165, queue=131, depth=162
Iterator=166, queue=131, depth=163
Iterator=167, queue=132, depth=164
Iterator=168, queue=134, depth=165
Iterator=169, queue=135, depth=166
Iterator=170, queue=135, depth=167
Iterator=171, queue=135, depth=168
Iterator=172, queue=137, depth=169
Iterator=173, queue=138, depth=170
Iterator=174, queue=138, depth=171
Iterator=175, queue=139, depth=172
Iterator=176, queue=139, depth=173
Iterator=177, queue=140, depth=174
Iterator=178, queue=142, depth=175
Iterator=179, queue=143, depth=176
Iterator=180, queue=143, depth=177
Iterator=181, queue=144, depth=178
Iterator=182, queue=144, depth=179
Iterator=183, queue=145, depth=180
Iterator=184, queue=147, depth=181
Iterator=185, queue=148, depth=182
Iterator=186, queue=147, depth=182
Iterator=187, queue=147, depth=183
Iterator=188, queue=148, depth=184
Iterator=189, queue=148, depth=185
Iterator=190, queue=149, depth=186
Iterator=191, queue=151, depth=187
Iterator=192, queue=152, depth=188
Iterator=193, queue=152, depth=189
Iterator=194, queue=153, depth=190
Iterator=195, queue=153, depth=191
Iterator=196, queue=154, depth=192
Iterator=197, queue=156, depth=193
Iterator=198, queue=157, depth=194
Iterator=199, queue=157, depth=195
Iterator=200, queue=158, depth=196
Iterator=201, queue=158, depth=197
Iterator=202, queue=159, depth=198
Iterator=203, queue=161, depth=199
Iterator=204, queue=162, depth=200
Iterator=205, queue=162, depth=201
Iterator=206, queue=163, depth=202
Iterator=207, queue=163, depth=203
Iterator=208, queue=164, depth=204
Iterator=209, queue=166, depth=205
Iterator=210, queue=167, depth=206
Iterator=211, queue=167, depth=207
Iterator=212, queue=168, depth=208
Iterator=213, queue=168, depth=209
Iterator=214, queue=169, depth=210
Iterator=215, queue=171, depth=211
Iterator=216, queue=172, depth=212
Iterator=217, queue=172, depth=213
Iterator=218, queue=172, depth=214
Iterator=219, queue=174, depth=215
Iterator=220, queue=175, depth=216
Iterator=221, queue=175, depth=217
Iterator=222, queue=176, depth=218
Iterator=223, queue=176, depth=219
Iterator=224, queue=177, depth=220
Iterator=225, queue=179, depth=221
Iterator=226, queue=180, depth=222
Iterator=227, queue=180, depth=223
Iterator=228, queue=181, depth=224
Iterator=229, queue=181, depth=225
Iterator=230, queue=182, depth=226
Iterator=231, queue=184, depth=227
Iterator=232, queue=185, depth=228
Iterator=233, queue=184, depth=228
Iterator=234, queue=184, depth=229
Iterator=235, queue=185, depth=230
Iterator=236, queue=185, depth=231
Iterator=237, queue=186, depth=232
Iterator=238, queue=188, depth=233
Iterator=239, queue=189, depth=234
Iterator=240, queue=189, depth=235
Iterator=241, queue=190, depth=236
Iterator=242, queue=190, depth=237
Iterator=243, queue=191, depth=238
Iterator=244, queue=193, depth=239
Iterator=245, queue=194, depth=240
Iterator=246, queue=194, depth=241
Iterator=247, queue=195, depth=242
Iterator=248, queue=195, depth=243
Iterator=249, queue=196, depth=244
Iterator=250, queue=198, depth=245
Iterator=251, queue=199, depth=246
Iterator=252, queue=199, depth=247
Iterator=253, queue=200, depth=248
Iterator=254, queue=200, depth=249
Iterator=255, queue=201, depth=250
Iterator=256, queue=203, depth=251
Iterator=257, queue=204, depth=252
Iterator=258, queue=204, depth=253
Iterator=259, queue=205, depth=254
Iterator=260, queue=205, depth=255
Iterator=261, queue=206, depth=256
Iterator=262, queue=208, depth=257
Iterator=263, queue=209, depth=258
Iterator=264, queue=209, depth=259
Iterator=265, queue=209, depth=260
Iterator=266, queue=211, depth=261
Iterator=267, queue=212, depth=262
Iterator=268, queue=212, depth=263
Iterator=269, queue=213, depth=264
Iterator=270, queue=213, depth=265
Iterator=271, queue=214, depth=266
Iterator=272, queue=216, depth=267
Iterator=273, queue=217, depth=268
Iterator=274, queue=217, depth=269
Iterator=275, queue=218, depth=270
Iterator=276, queue=218, depth=271
Iterator=277, queue=219, depth=272
Iterator=278, queue=221, depth=273
Iterator=279, queue=222, depth=274
Iterator=280, queue=221, depth=274
Iterator=281, queue=221, depth=275
Iterator=282, queue=222, depth=276
Iterator=283, queue=222, depth=277
Iterator=284, queue=223, depth=278
Iterator=285, queue=225, depth=279
Iterator=286, queue=226, depth=280
Iterator=287, queue=226, depth=281
Iterator=288, queue=227, depth=282
Iterator=289, queue=227, depth=283
Iterator=290, queue=228, depth=284
Iterator=291, queue=230, depth=285
Iterator=292, queue=231, depth=286
Iterator=293, queue=231, depth=287
Iterator=294, queue=232, depth=288
Iterator=295, queue=232, depth=289
Iterator=296, queue=233, depth=290
Iterator=297, queue=235, depth=291
Iterator=298, queue=236, depth=292
Iterator=299, queue=236, depth=293
Iterator=300, queue=237, depth=294
Iterator=301, queue=237, depth=295
