Enter value for shuffling:you string is123875460Iterator=1, queue=1, depth=0
Iterator=2, queue=2, depth=0
Iterator=3, queue=3, depth=1
Iterator=4, queue=3, depth=1
Iterator=5, queue=4, depth=2
Iterator=6, queue=6, depth=2
Iterator=7, queue=7, depth=3
Iterator=8, queue=7, depth=3
Iterator=9, queue=8, depth=4
Iterator=10, queue=8, depth=4
Iterator=11, queue=9, depth=5
Iterator=12, queue=11, depth=5
Iterator=13, queue=12, depth=6
Iterator=14, queue=12, depth=6
Iterator=15, queue=13, depth=7
Iterator=16, queue=13, depth=7
Iterator=17, queue=14, depth=8
Iterator=18, queue=16, depth=8
Iterator=19, queue=17, depth=9
Iterator=20, queue=17, depth=9
Iterator=21, queue=16, depth=9
Iterator=22, queue=16, depth=9
Iterator=23, queue=15, depth=9
Iterator=24, queue=16, depth=9
Iterator=25, queue=14, depth=9
Iterator=26, queue=15, depth=9
Iterator=27, queue=13, depth=8
Iterator=28, queue=13, depth=8
Iterator=29, queue=14, depth=9
Iterator=30, queue=14, depth=9
Iterator=31, queue=13, depth=9
Iterator=32, queue=15, depth=9
Iterator=33, queue=12, depth=7
Iterator=34, queue=14, depth=7
Iterator=35, queue=15, depth=8
Iterator=36, queue=15, depth=8
Iterator=37, queue=16, depth=9
Iterator=38, queue=16, depth=9
Iterator=39, queue=15, depth=9
Iterator=40, queue=17, depth=9
Iterator=41, queue=14, depth=8
Iterator=42, queue=14, depth=8
Iterator=43, queue=15, depth=9
Iterator=44, queue=15, depth=9
Iterator=45, queue=14, depth=9
Iterator=46, queue=16, depth=9
Iterator=47, queue=13, depth=8
Iterator=48, queue=14, depth=8
Iterator=49, queue=14, depth=9
Iterator=50, queue=15, depth=9
Iterator=51, queue=13, depth=9
Iterator=52, queue=13, depth=9
Iterator=53, queue=12, depth=8
Iterator=54, queue=13, depth=8
Iterator=55, queue=13, depth=9
Iterator=56, queue=14, depth=9
Iterator=57, queue=12, depth=9
Iterator=58, queue=12, depth=9
Iterator=59, queue=11, depth=6
Iterator=60, queue=11, depth=6
Iterator=61, queue=12, depth=7
Iterator=62, queue=12, depth=7
Iterator=63, queue=13, depth=8
Iterator=64, queue=15, depth=8
Iterator=65, queue=16, depth=9
Iterator=66, queue=16, depth=9
Iterator=67, queue=15, depth=9
Iterator=68, queue=15, depth=9
Iterator=69, queue=14, depth=9
Iterator=70, queue=15, depth=9
Iterator=71, queue=13, depth=9
Iterator=72, queue=14, depth=9
Iterator=73, queue=12, depth=8
Iterator=74, queue=12, depth=8
Iterator=75, queue=13, depth=9
Iterator=76, queue=13, depth=9
Iterator=77, queue=12, depth=9
Iterator=78, queue=14, depth=9
Iterator=79, queue=11, depth=7
Iterator=80, queue=13, depth=7
Iterator=81, queue=14, depth=8
Iterator=82, queue=14, depth=8
Iterator=83, queue=15, depth=9
Iterator=84, queue=15, depth=9
Iterator=85, queue=14, depth=9
Iterator=86, queue=16, depth=9
Iterator=87, queue=13, depth=8
Iterator=88, queue=13, depth=8
Iterator=89, queue=14, depth=9
Iterator=90, queue=14, depth=9
Iterator=91, queue=13, depth=9
Iterator=92, queue=15, depth=9
Iterator=93, queue=12, depth=8
Iterator=94, queue=13, depth=8
Iterator=95, queue=13, depth=9
Iterator=96, queue=14, depth=9
Iterator=97, queue=12, depth=9
Iterator=98, queue=12, depth=9
Iterator=99, queue=11, depth=8
Iterator=100, queue=12, depth=8
Iterator=101, queue=12, depth=9
Iterator=102, queue=13, depth=9
Iterator=103, queue=11, depth=9
Iterator=104, queue=11, depth=9
Iterator=105, queue=10, depth=6
Iterator=106, queue=10, depth=6
Iterator=107, queue=10, depth=7
Iterator=108, queue=11, depth=7
Iterator=109, queue=13, depth=8
Iterator=110, queue=14, depth=8
Iterator=111, queue=14, depth=9
Iterator=112, queue=15, depth=9
Iterator=113, queue=13, depth=9
Iterator=114, queue=13, depth=9
Iterator=115, queue=12, depth=8
Iterator=116, queue=13, depth=8
Iterator=117, queue=13, depth=9
Iterator=118, queue=14, depth=9
Iterator=119, queue=12, depth=9
Iterator=120, queue=12, depth=9
Iterator=121, queue=11, depth=8
Iterator=122, queue=12, depth=8
Iterator=123, queue=12, depth=9
Iterator=124, queue=13, depth=9
Iterator=125, queue=11, depth=9
Iterator=126, queue=11, depth=9
Iterator=127, queue=10, depth=8
Iterator=128, queue=10, depth=8
Iterator=129, queue=11, depth=9
Iterator=130, queue=11, depth=9
Iterator=131, queue=10, depth=9
Iterator=132, queue=12, depth=9
Iterator=133, queue=9, depth=6
Iterator=134, queue=9, depth=6
Iterator=135, queue=9, depth=7
Iterator=136, queue=10, depth=7
Iterator=137, queue=12, depth=8
Iterator=138, queue=13, depth=8
Iterator=139, queue=13, depth=9
Iterator=140, queue=13, depth=9
Iterator=141, queue=12, depth=9
Iterator=142, queue=12, depth=9
Iterator=143, queue=11, depth=8
Iterator=144, queue=12, depth=8
Iterator=145, queue=12, depth=9
Iterator=146, queue=13, depth=9
Iterator=147, queue=11, depth=9
Iterator=148, queue=11, depth=9
Iterator=149, queue=10, depth=8
Iterator=150, queue=11, depth=8
Iterator=151, queue=11, depth=9
Iterator=152, queue=12, depth=9
Iterator=153, queue=10, depth=9
Iterator=154, queue=10, depth=9
Iterator=155, queue=9, depth=8
Iterator=156, queue=9, depth=8
Iterator=157, queue=10, depth=9
Iterator=158, queue=10, depth=9
Iterator=159, queue=9, depth=9
Iterator=160, queue=11, depth=9
Iterator=161, queue=8, depth=5
Iterator=162, queue=8, depth=5
Iterator=163, queue=8, depth=6
Iterator=164, queue=8, depth=6
Iterator=165, queue=9, depth=7
Iterator=166, queue=11, depth=7
Iterator=167, queue=12, depth=8
Iterator=168, queue=12, depth=8
Iterator=169, queue=13, depth=9
Iterator=170, queue=13, depth=9
Iterator=171, queue=12, depth=9
Iterator=172, queue=14, depth=9
Iterator=173, queue=11, depth=8
Iterator=174, queue=11, depth=8
Iterator=175, queue=12, depth=9
Iterator=176, queue=12, depth=9
Iterator=177, queue=11, depth=9
Iterator=178, queue=13, depth=9
Iterator=179, queue=10, depth=8
Iterator=180, queue=11, depth=8
Iterator=181, queue=11, depth=9
Iterator=182, queue=12, depth=9
Iterator=183, queue=10, depth=9
